,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
1441,FMCG companies,Chamanlal Setia,https://www.screener.in/company/GRMOVER/,"1,136",189,431,159,23.8,46.2,0.24,15.7,23.4,2.00,-4.77,19.0,41.4,6.00,19.6,56.1,44.7,1.13,0.44,0.68,GRMOVER
1442,FMCG companies,GRM Overseas,https://www.screener.in/company/SKMEGGPROD/consolidated/,"1,016",386,560,122,8.43,95.6,0.65,46.4,48.2,10.0,68.2,217,41.4,2.63,28.4,31.1,52.6,10.8,0.69,0.56,SKMEGGPROD
1443,FMCG companies,SKM Egg Prod.,https://www.screener.in/company/FOODSIN/consolidated/,860,160,222,111,17.0,66.6,0.16,17.8,19.6,1.00,35.0,43.9,41.4,5.37,36.4,28.0,35.1,2.51,0.72,1.19,FOODSIN
1444,FMCG companies,Foods & Inns,https://www.screener.in/company/539132/,788,31.8,49.9,19.5,,4.69,0.0,-7.89,-10.3,1.00,"1,030",62.8,41.4,24.8,,36.4,54.9,-0.31,0.64,0.26,539132
1445,FMCG companies,Wardwizard Foods,https://www.screener.in/company/KRISHIVAL/,606,272,310,193,64.1,52.7,0.06,18.4,14.9,10.0,70.1,40.6,41.4,2.23,16.8,12.2,45.3,2.28,0.88,0.06,KRISHIVAL
1446,FMCG companies,Krishival Foods,https://www.screener.in/company/538921/consolidated/,538,452,542,180,85.6,54.9,0.0,9.46,8.88,10.0,-52.0,151,41.4,1.19,-36.3,16.8,80.0,2.42,0.83,0.02,538921
1447,FMCG companies,Raghuvansh Agro.,https://www.screener.in/company/SARVESHWAR/consolidated/,533,5.45,5.63,2.08,47.4,2.49,0.0,8.12,4.69,1.00,-2.78,162,41.4,97.9,12.2,3.2,67.7,0.05,0.97,1.19,SARVESHWAR
1448,FMCG companies,Sarveshwar Foods,https://www.screener.in/company/ANNAPURNA/,523,301,381,129,48.3,54.3,0.0,23.4,20.9,10.0,121,133,41.4,1.74,127,21.1,34.2,3.77,0.79,0.22,ANNAPURNA
1449,FMCG companies,Annapurna Swadi.,https://www.screener.in/company/KAYA/consolidated/,440,337,399,239,,-94.9,0.0,-43.5,,10.0,11.3,40.7,51.8,1.31,-1.42,15.5,57.5,-8.76,0.85,,KAYA
1450,FMCG companies,Kaya Ltd,https://www.screener.in/company/EIFFL/,393,158,192,132,213,26.5,0.0,5.03,1.89,10.0,-8.74,19.9,41.4,2.48,15.5,17.6,71.8,0.33,0.82,0.58,EIFFL
1451,FMCG companies,Euro India Fresh,https://www.screener.in/company/523475/,391,305,480,129,,27.9,0.0,-40.6,,10.0,-7.65,136,41.4,1.28,-3.54,36.6,63.5,-0.58,0.63,0.18,523475
1452,FMCG companies,Lotus Chocolate,https://www.screener.in/company/MEGASTAR/,366,366,405,191,44.7,49.6,0.0,21.9,23.6,10.0,19.2,91.6,41.4,1.00,18.2,9.61,53.6,2.02,0.9,1.63,MEGASTAR
1453,FMCG companies,Megastar Foods,https://www.screener.in/company/SCPL/,351,334,717,325,19.1,99.8,0.0,22.7,26.1,10.0,-16.2,2.91,41.4,1.05,9.53,53.4,39.6,2.78,0.47,0.75,SCPL
1454,FMCG companies,Sheetal Cool,https://www.screener.in/company/519295/,333,416,470,285,32.0,114,0.38,11.3,11.6,10.0,17.1,45.8,41.4,0.80,6.92,11.5,53.8,6.01,0.88,0.91,519295
1455,FMCG companies,Bambino Agro Ind,https://www.screener.in/company/507621/consolidated/,307,599,728,501,36.0,282,0.42,9.29,7.41,10.0,31.9,19.6,41.4,0.51,-5.36,17.7,53.9,7.06,0.82,0.9,507621
1456,FMCG companies,Milkfood,https://www.screener.in/company/GOYALSALT/,271,152,190,124,76.6,,0.0,24.8,25.4,10.0,78.4,22.7,41.4,1.79,,20.2,43.2,1.85,0.8,0.68,GOYALSALT
1457,FMCG companies,Goyal Salt,https://www.screener.in/company/530741/,246,235,365,124,5.67,74.4,0.0,80.8,99.2,10.0,16.4,89.1,41.4,1.05,26.8,35.7,39.7,8.27,0.64,0.32,530741
1458,FMCG companies,Ovobel Foods,https://www.screener.in/company/534839/,243,9.80,10.6,9.80,"2,022",1.77,0.0,0.26,0.27,1.00,-78.2,0.00,41.4,24.8,-42.9,7.72,2.33,-0.01,0.92,0.0,534839
1459,FMCG companies,Eco Friendly,https://www.screener.in/company/543737/,224,556,659,140,67.2,42.8,0.0,8.36,6.48,10.0,2.72,296,41.4,0.40,,15.7,59.5,0.94,0.84,0.76,543737
1460,FMCG companies,Aveer Foods,https://www.screener.in/company/DANGEE/,173,11.2,19.6,9.25,,1.11,0.0,5.00,-2.98,1.00,8.03,21.6,41.4,15.4,-10.3,42.6,45.3,0.00,0.57,1.4,DANGEE
1461,FMCG companies,Dangee Dums,https://www.screener.in/company/KOHINOOR/consolidated/,171,46.2,84.0,28.3,,-141,0.0,3.30,,10.0,-28.6,63.3,41.4,3.71,-27.3,45.1,50.6,-0.97,0.55,,KOHINOOR
1462,FMCG companies,Kohinoor Foods,https://www.screener.in/company/UMANGDAIRY/,167,75.7,83.0,49.0,,17.3,0.0,0.38,-7.20,5.00,37.0,54.5,41.4,2.20,6.16,8.8,57.2,-1.47,0.91,1.5,UMANGDAIRY
1463,FMCG companies,Umang Dairies,https://www.screener.in/company/JHS/consolidated/,165,25.4,31.1,13.1,49.7,26.3,0.0,-1.08,0.95,10.0,4.01,93.8,51.8,6.49,-11.6,18.2,48.0,-0.11,0.82,0.01,JHS
1464,FMCG companies,JHS Sven.Lab.,https://www.screener.in/company/540332/consolidated/,159,152,176,65.7,131,53.6,0.0,4.97,2.32,10.0,-0.80,132,41.4,1.04,-0.97,13.5,61.3,0.13,0.87,0.41,540332
1465,FMCG companies,Tanvi Foods,https://www.screener.in/company/MADHUSUDAN/,157,122,153,103,27.3,31.4,0.0,26.9,102,10.0,94.5,18.4,41.4,1.29,,20.3,44.8,2.57,0.8,1.0,MADHUSUDAN
1466,FMCG companies,Madhusudan Masa,https://www.screener.in/company/530077/,141,143,285,91.1,6.47,96.4,0.0,11.4,9.79,10.0,11.7,56.9,41.4,0.99,14.2,49.8,45.1,-0.06,0.5,0.1,530077
1467,FMCG companies,Freshtrop Fruits,https://www.screener.in/company/SSFL/,135,189,218,102,43.1,26.9,0.0,35.0,44.4,10.0,103,86.1,41.4,0.71,473,13.4,55.9,3.65,0.87,0.64,SSFL
1468,FMCG companies,Srivari Spices &,https://www.screener.in/company/523672/,130,104,129,72.0,,73.9,0.48,0.68,-9.83,10.0,0.07,44.8,41.4,1.25,13.1,19.1,49.3,-5.53,0.81,2.66,523672
1469,FMCG companies,Flex Foods,https://www.screener.in/company/511153/,116,41.4,43.8,20.0,81.0,5.00,0.0,11.3,9.00,2.00,14.8,107,41.4,2.79,16.7,5.39,69.0,0.20,0.95,0.58,511153
1470,FMCG companies,Anjani Foods,https://www.screener.in/company/530689/consolidated/,114,58.8,136,41.6,7.84,15.6,0.0,17.7,79.9,10.0,17.3,41.6,7.84,1.94,75.3,56.7,46.8,1.05,0.43,3.43,530689
1471,FMCG companies,Lykis,https://www.screener.in/company/526899/,113,19.5,30.9,17.6,,23.3,0.0,15.2,19.0,10.0,27.7,11.3,41.4,5.79,-4.61,36.8,43.9,0.18,0.63,0.0,526899
1472,FMCG companies,Himalaya Food,https://www.screener.in/company/BABAFP/,110,67.5,80.7,63.2,22.0,,0.0,17.9,22.2,10.0,95.2,6.89,41.4,1.63,15.6,16.4,46.5,2.74,0.84,0.0,BABAFP
1473,FMCG companies,Baba Food,https://www.screener.in/company/507474/,109,72.4,105,38.3,,36.5,0.0,3.02,0.31,10.0,10.8,89.3,41.4,1.50,4.46,31.0,46.7,-2.31,0.69,0.95,507474
1474,FMCG companies,Kothari Ferment.,https://www.screener.in/company/507598/,109,196,238,86.5,14.0,117,1.02,16.5,14.4,10.0,10.0,127,41.4,0.55,13.0,17.6,47.3,6.69,0.82,0.88,507598
1475,FMCG companies,Kovil. Lak. Rol.,https://www.screener.in/company/524136/,94.1,355,510,86.0,13.2,131,0.56,10.1,8.51,10.0,20.2,313,,0.26,19.0,30.4,32.8,9.48,0.7,0.15,524136
1476,FMCG companies,Pee Cee Cosma,https://www.screener.in/company/SHEETAL/,94.0,82.1,91.9,68.0,45.7,,0.0,21.7,37.2,10.0,244,20.7,41.4,1.15,32.8,10.7,,,0.89,2.03,SHEETAL
1477,FMCG companies,Sheetal,https://www.screener.in/company/519457/,93.7,45.9,53.5,24.4,17.5,28.2,0.0,14.9,15.2,10.0,12.5,88.0,41.4,2.04,13.0,14.2,61.0,0.71,0.86,0.1,519457
1478,FMCG companies,Virat Crane Inds,https://www.screener.in/company/530461/,85.2,20.3,24.4,13.6,,11.2,0.0,4.37,0.19,10.0,-3.93,48.7,41.4,4.20,8.69,16.8,54.8,0.01,0.83,0.36,530461
1479,FMCG companies,Saboo Sodium,https://www.screener.in/company/TAPIFRUIT/consolidated/,77.6,186,249,59.2,310,28.3,0.0,-0.43,-4.35,10.0,25.9,214,41.4,0.42,,25.2,59.3,0.00,0.75,0.04,TAPIFRUIT
1480,FMCG companies,Tapi Fruit,https://www.screener.in/company/538565/,72.8,228,407,212,22.4,45.6,0.0,36.7,27.6,10.0,-3.76,7.23,41.4,0.32,44.6,44.1,40.3,0.75,0.56,0.0,538565
1481,FMCG companies,Vistar Amar,https://www.screener.in/company/526231/,72.7,88.0,92.4,51.0,60.6,32.0,0.0,7.31,7.12,10.0,-10.6,72.5,,0.83,22.7,4.79,76.4,0.35,0.95,1.11,526231
1482,FMCG companies,Standard Surfact,https://www.screener.in/company/519238/,72.2,21.2,24.6,12.6,115,1.60,0.0,11.1,12.0,10.0,-27.2,67.7,41.4,3.40,0.58,13.7,58.0,0.04,0.86,0.13,519238
1483,FMCG companies,Saptarishi Agro,https://www.screener.in/company/519287/,67.6,29.0,36.6,16.4,7.24,-31.1,0.0,,,10.0,47.9,77.1,41.4,2.33,-34.4,21.0,46.2,9.15,0.79,,519287
1484,FMCG companies,Modern Dairies,https://www.screener.in/company/506186/,65.7,14.6,18.0,10.0,,-2.84,0.0,-59.1,,10.0,-46.9,46.2,41.4,4.49,-31.5,18.6,59.2,-0.68,0.81,,506186
1485,FMCG companies,Galaxy Cloud,https://www.screener.in/company/NGIL/,62.4,49.0,87.8,36.3,567,11.9,0.31,8.77,5.94,10.0,-17.7,35.0,41.4,1.27,29.6,44.2,72.6,-0.39,0.56,1.38,NGIL
1486,FMCG companies,Nakoda Group,https://www.screener.in/company/538926/,59.6,112,208,50.6,,19.2,0.0,-0.85,-4.50,10.0,-21.6,122,41.4,0.53,-13.4,46.0,40.6,-2.62,0.54,0.46,538926
1487,FMCG companies,Naturite Agro,https://www.screener.in/company/530953/,57.8,193,271,126,65.0,55.0,0.0,7.96,5.71,10.0,12.0,52.6,41.4,0.30,14.5,28.9,49.5,1.03,0.71,1.94,530953
1488,FMCG companies,Sunil Agro Foods,https://www.screener.in/company/530617/,51.9,75.5,160,46.6,,28.1,0.0,6.80,2.34,10.0,12.8,62.3,41.4,0.69,14.3,52.8,54.5,0.52,0.47,0.78,530617
1489,FMCG companies,Sampre Nutrition,https://www.screener.in/company/543538/,51.6,137,223,105,12.4,49.9,0.0,18.2,29.8,10.0,33.9,30.5,41.4,0.38,13.1,38.7,38.7,4.27,0.61,1.67,543538
1490,FMCG companies,Goel Food,https://www.screener.in/company/517554/,51.6,43.5,58.0,27.0,27.9,22.2,0.0,12.1,7.17,10.0,8.50,61.0,41.4,1.19,7.51,25.0,42.3,0.36,0.75,1.33,517554
1491,FMCG companies,NHC Foods,https://www.screener.in/company/533212/consolidated/,50.4,100,198,80.0,,123,0.0,2.22,0.21,10.0,11.3,25.1,51.8,0.50,8.84,49.4,47.3,-2.32,0.51,0.18,533212
1492,FMCG companies,GKB Ophthalmics,https://www.screener.in/company/506166/consolidated/,49.9,90.5,90.5,27.0,2.16,233,0.0,10.5,17.1,10.0,-1.45,235,41.4,0.55,16.6,0.0,100.0,9.24,1.0,0.48,506166
1493,FMCG companies,Apis India,https://www.screener.in/company/514171/,44.9,31.0,38.5,16.1,,16.8,0.0,-2.31,-5.35,1.00,"1,881",92.2,41.4,1.45,0.76,19.6,47.4,-0.34,0.8,0.53,514171
1494,FMCG companies,Ceeta Industries,https://www.screener.in/company/519475/,41.0,102,110,59.6,89.0,35.4,0.0,2.47,1.27,10.0,8.99,70.5,41.4,0.40,-64.8,7.59,48.6,0.57,0.92,0.04,519475
1495,FMCG companies,Chordia Food,https://www.screener.in/company/540850/,34.9,34.0,34.0,6.87,10.8,-29.3,0.0,29.2,,10.0,-20.5,395,41.4,1.03,-35.3,0.0,98.3,-0.29,1.0,,540850
1496,FMCG companies,Jhandewala Foods,https://www.screener.in/company/507300/,32.0,943,"1,157",596,,-10.0,0.0,-14.1,-93.4,10.0,6.12,58.1,41.4,0.03,-2.08,18.5,52.7,-28.0,0.81,,507300
1497,FMCG companies,Ravalgaon Sugar,https://www.screener.in/company/530853/,30.7,98.0,129,54.2,,37.0,0.0,-9.44,-11.0,10.0,25.1,80.8,,0.31,3.86,24.0,60.0,-1.12,0.76,0.1,530853
1498,FMCG companies,Hipolin,https://www.screener.in/company/540955/,30.4,14.9,17.5,10.0,,11.6,0.0,-3.36,-31.7,10.0,-21.7,48.1,41.4,2.04,-34.9,15.0,46.9,-1.00,0.85,2.9,540955
1499,FMCG companies,Tasty Dairy,https://www.screener.in/company/NARMADA/,30.2,22.2,31.4,16.6,52.0,11.9,0.0,6.88,4.18,10.0,13.4,34.4,41.4,1.35,-6.97,29.1,57.0,0.13,0.71,0.61,NARMADA
1500,FMCG companies,Narmada Agrobase,https://www.screener.in/company/SANWARIA/consolidated/,29.4,0.40,0.76,0.25,,-8.01,0.0,-2.03,,1.00,,60.0,41.4,73.6,,47.4,47.1,-0.05,0.53,,SANWARIA
1501,FMCG companies,Sanwaria Consum.,https://www.screener.in/company/530217/,24.7,7.97,12.3,5.32,,,0.0,0.29,0.29,10.0,,49.8,57.7,,,35.2,51.0,,0.65,0.0,530217
1502,FMCG companies,Swojas Energy,https://www.screener.in/company/531982/,23.9,49.2,89.8,33.0,9.18,12.6,0.0,21.3,,10.0,9.79,49.4,41.4,0.48,23.4,45.2,41.5,6.81,0.55,0.18,531982
1503,FMCG companies,Spectrum Foods,https://www.screener.in/company/519285/,20.2,11.4,11.4,3.89,,-1.15,0.0,-52.4,,10.0,-100,193,41.4,1.77,-44.2,0.0,92.1,0.13,1.0,,519285
1504,FMCG companies,Tarai Foods,https://www.screener.in/company/507970/,20.0,41.2,54.0,28.4,74.1,42.1,0.0,6.08,1.05,10.0,7.03,44.8,51.8,0.49,3.39,23.7,48.2,0.33,0.76,0.58,507970
1505,FMCG companies,Paramount Cosmet,https://www.screener.in/company/SHANTI/consolidated/,19.8,17.8,23.5,13.6,,13.0,0.0,-30.5,-21.3,10.0,-93.2,31.4,41.4,1.11,-2.05,24.3,42.8,-0.53,0.76,0.05,SHANTI
1506,FMCG companies,Shanti Overseas,https://www.screener.in/company/519415/,19.4,36.7,48.0,20.9,,-1.83,0.0,10.0,,10.0,-31.7,75.4,41.4,0.53,312,23.6,47.1,-0.43,0.76,,519415
1507,FMCG companies,KMG Milk Food,https://www.screener.in/company/523120/consolidated/,19.0,40.6,75.6,29.1,,9.07,0.0,-66.4,-50.7,10.0,-24.6,39.6,51.8,0.47,7.23,46.4,57.8,-20.2,0.54,0.0,523120
1508,FMCG companies,Ador Multi Prod.,https://www.screener.in/company/542771/,16.9,35.0,39.0,15.1,423,16.3,0.0,0.83,0.51,10.0,-37.5,132,51.8,0.48,47.8,10.3,61.8,0.02,0.9,0.14,542771
1509,FMCG companies,Novateor Resear.,https://www.screener.in/company/KCK/,14.8,27.0,30.5,15.7,11.4,27.4,0.0,9.66,15.8,10.0,30.1,72.0,41.4,0.55,21.7,11.5,50.3,0.18,0.89,1.74,KCK
1510,FMCG companies,KCK Industries,https://www.screener.in/company/519612/,13.2,37.6,42.4,22.2,16.9,55.1,0.0,4.26,3.13,10.0,,68.8,41.4,0.35,,11.3,56.0,1.34,0.89,0.0,519612
1511,FMCG companies,Mahaan Foods,https://www.screener.in/company/519031/,10.5,174,222,28.3,,-9.21,0.0,-40.8,,10.0,,517,41.4,0.06,,21.3,41.9,-1.17,0.79,,519031
1512,FMCG companies,Shah Foods,https://www.screener.in/company/531406/,10.1,11.0,16.2,0.00,,5.54,0.0,-14.2,-22.8,10.0,,,41.4,0.93,,32.3,59.1,-0.24,0.68,0.32,531406
1513,FMCG companies,ANS Industries,https://www.screener.in/company/500458/,8.98,7.71,11.2,5.92,,-3.01,0.0,-440,,10.0,-100,30.2,41.4,1.17,,31.2,63.5,-0.07,0.69,,500458
1514,FMCG companies,Kore Foods,https://www.screener.in/company/530735/,8.00,26.5,39.5,15.5,28.6,14.9,0.0,8.83,6.68,10.0,,71.0,41.4,0.30,,32.9,38.2,0.30,0.67,0.0,530735
1515,FMCG companies,Super Bakers (I),https://www.screener.in/company/543924/,7.71,38.6,92.3,0.00,,29.5,0.0,0.70,0.00,10.0,,,41.4,0.20,,58.2,47.4,1.10,0.42,0.44,543924
1516,FMCG companies,Sonalis Consumer,https://www.screener.in/company/530219/,5.58,205,206,121,,-130,0.0,-53.5,,10.0,70.4,70.0,41.4,0.03,107,0.41,69.1,-2.58,1.0,,530219
1517,FMCG companies,Nutricircle,https://www.screener.in/company/531834/,3.21,7.74,10.0,3.51,107,25.3,0.0,-1.31,-1.69,10.0,-28.6,121,41.4,0.41,,22.8,30.8,0.07,0.77,0.02,531834
1518,FMCG companies,Natura Hue Chem,https://www.screener.in/company/531716/,2.98,1.56,1.98,0.96,,-45.2,0.0,,,10.0,,62.5,41.4,1.91,,21.2,65.3,-0.01,0.79,,531716
1519,FMCG companies,Tricom Fruit,https://www.screener.in/company/519279/,2.44,5.97,5.97,2.90,,12.7,0.0,-8.66,-8.67,10.0,-100,106,41.4,0.41,,0.0,78.4,-0.05,1.0,0.06,519279
1520,FMCG companies,Madhur Inds,https://www.screener.in/company/538542/,2.16,7.20,7.89,5.25,,4.60,0.0,-43.9,-51.4,10.0,-42.9,37.1,41.4,0.30,-51.9,8.75,57.7,-0.03,0.91,0.3,538542
1521,FMCG companies,Goldcoin Health,https://www.screener.in/company/519367/,1.68,116,118,60.0,,-17.2,0.0,11.1,,10.0,-5.26,93.3,41.4,0.01,,1.41,73.2,-3.45,0.99,,519367
1522,FMCG companies,Transglobe Foods,https://www.screener.in/company/ATGL/consolidated/,"1,08,656",988,"4,000",522,190,29.4,0.03,20.7,20.4,1.00,7.87,89.3,18.5,110,32.7,75.3,60.2,1.57,0.25,0.42,ATGL
1523,Gas Distribution companies,Adani Total Gas,https://www.screener.in/company/GAIL/consolidated/,"1,06,582",162,164,91.0,20.2,111,2.47,9.76,8.69,10.0,3.75,78.1,18.5,658,26.2,1.34,75.4,3.72,0.99,0.25,GAIL
1524,Gas Distribution companies,GAIL (India),https://www.screener.in/company/PETRONET/,"33,398",223,254,192,9.81,107,3.14,26.6,22.8,10.0,-0.31,16.2,18.5,150,19.1,12.5,68.4,5.45,0.88,0.2,PETRONET
1525,Gas Distribution companies,Petronet LNG,https://www.screener.in/company/GUJGASLTD/consolidated/,"31,769",462,526,397,25.3,103,1.44,31.2,24.2,2.00,-19.6,16.2,18.5,68.8,17.6,12.3,70.1,4.30,0.88,0.02,GUJGASLTD
1526,Gas Distribution companies,Gujarat Gas,https://www.screener.in/company/IGL/,"29,285",418,516,376,18.5,115,3.11,26.7,20.0,2.00,25.5,11.4,18.5,70.0,29.7,18.9,63.1,7.64,0.81,0.01,IGL
1527,Gas Distribution companies,Indraprastha Gas,https://www.screener.in/company/GSPL/consolidated/,"17,265",306,316,254,11.3,176,1.63,26.6,18.9,10.0,-18.1,20.2,18.5,56.4,14.0,3.01,63.7,8.06,0.97,0.01,GSPL
1528,Gas Distribution companies,Guj.St.Petronet,https://www.screener.in/company/MGL/,"11,858","1,200","1,231",830,10.3,474,2.17,26.8,20.4,10.0,24.5,44.6,18.5,9.88,28.4,2.51,67.8,34.3,0.97,0.02,MGL
1529,Gas Distribution companies,Mahanagar Gas,https://www.screener.in/company/DEEPINDS/consolidated/,"1,641",256,299,125,14.1,224,0.72,8.39,6.89,5.00,35.1,104,18.5,6.40,9.24,14.2,49.5,4.59,0.86,0.06,DEEPINDS
1530,Gas Distribution companies,Deep Industries,https://www.screener.in/company/DEEPENR/consolidated/,623,195,206,82.2,"2,398",125,0.0,0.76,0.51,10.0,363,137,18.5,3.20,258,5.21,64.5,-0.11,0.95,0.09,DEEPENR
1531,Gas Distribution companies,Deep Energy,https://www.screener.in/company/ASAHIINDIA/consolidated/,"14,017",577,651,420,41.2,91.2,0.35,20.5,18.6,1.00,15.6,37.4,35.8,24.3,15.0,11.5,57.1,3.57,0.89,0.7,ASAHIINDIA
1532,Glass & Glass Products companies,Asahi India Glas,https://www.screener.in/company/BORORENEW/consolidated/,"5,742",440,573,380,755,71.6,0.0,,,1.00,,15.8,35.8,13.0,,23.2,58.6,1.92,0.77,0.52,BORORENEW
1533,Glass & Glass Products companies,Borosil Renew.,https://www.screener.in/company/LAOPALA/,"4,125",372,480,326,33.3,74.6,1.35,22.1,16.0,2.00,-1.11,13.9,35.8,11.1,18.8,22.5,42.1,2.81,0.77,0.01,LAOPALA
1534,Glass & Glass Products companies,La Opala RG,https://www.screener.in/company/BOROLTD/,"3,861",337,402,249,44.0,79.9,0.0,11.2,8.97,1.00,14.0,35.4,35.8,11.5,17.2,16.2,44.8,2.47,0.84,0.23,BOROLTD
1535,Glass & Glass Products companies,Borosil,https://www.screener.in/company/515043/,"1,197",131,135,77.0,38.3,20.1,1.14,18.4,13.3,10.0,9.76,70.6,35.8,9.11,11.3,2.56,68.2,0.95,0.97,0.02,515043
1536,Glass & Glass Products companies,Saint-Gob. Sekur,https://www.screener.in/company/515147/consolidated/,750,140,160,55.0,30.8,34.7,0.5,17.6,16.0,1.00,3.56,154,35.8,5.38,11.7,13.0,50.0,0.54,0.87,0.52,515147
1537,Glass & Glass Products companies,Haldyn Glass,https://www.screener.in/company/SEJALLTD/consolidated/,250,248,308,210,26.3,27.8,0.0,4.87,87.2,10.0,90.8,18.0,35.8,1.01,132,19.6,43.0,1.07,0.8,4.16,SEJALLTD
1538,Glass & Glass Products companies,Sejal Glass,https://www.screener.in/company/HINDNATGLS/,204,22.8,25.2,7.55,1.25,-94.5,0.0,-15.1,,2.00,7.58,201,35.8,8.96,2.43,9.87,71.5,7.25,0.9,,HINDNATGLS
1539,Glass & Glass Products companies,Hind.Natl.Glass,https://www.screener.in/company/BANARBEADS/,63.4,95.6,107,71.0,26.8,81.9,2.09,7.62,4.86,10.0,4.84,34.6,35.8,0.66,1.52,10.9,56.1,1.63,0.89,0.02,BANARBEADS
1540,Glass & Glass Products companies,Banaras Beads,https://www.screener.in/company/502281/,22.7,18.0,27.2,15.7,10.0,-12.9,0.0,265,,10.0,,14.5,35.8,1.26,,33.9,50.6,1.16,0.66,,502281
1541,Glass & Glass Products companies,Triveni Glass,https://www.screener.in/company/523467/,19.6,1.96,4.65,1.15,,0.29,0.0,0.35,0.36,1.00,-20.4,70.4,35.8,10.0,,57.8,84.2,0.00,0.42,0.0,523467
1542,Glass & Glass Products companies,Jai Mata Glass,https://www.screener.in/company/APOLLOHOSP/consolidated/,"82,016","5,704","5,770","4,078",118,453,0.26,14.5,13.7,5.00,17.1,39.9,49.8,14.4,13.9,1.14,61.8,16.2,0.99,0.75,APOLLOHOSP
1543,Healthcare companies,Apollo Hospitals,https://www.screener.in/company/MAXHEALTH/consolidated/,"66,692",686,732,412,67.4,80.8,0.15,15.0,16.1,10.0,21.6,66.6,49.8,97.2,62.7,6.24,59.5,2.85,0.94,0.08,MAXHEALTH
1544,Healthcare companies,Max Healthcare,https://www.screener.in/company/FORTIS/consolidated/,"31,648",419,423,245,59.9,101,0.24,9.83,7.77,10.0,11.6,70.8,49.8,75.5,10.8,0.9,73.6,2.30,0.99,0.14,FORTIS
1545,Healthcare companies,Fortis Health.,https://www.screener.in/company/MEDANTA/consolidated/,"25,746",959,"1,028",426,63.0,98.9,0.0,17.1,16.2,2.00,25.6,125,49.8,26.8,21.6,6.7,59.6,4.66,0.93,0.3,MEDANTA
1546,Healthcare companies,Global Health,https://www.screener.in/company/NH/consolidated/,"24,563","1,202","1,314",705,33.3,122,0.21,31.6,33.1,10.0,20.0,70.5,49.8,20.4,13.1,8.53,57.4,11.1,0.91,0.43,NH
1547,Healthcare companies,Narayana Hrudaya,https://www.screener.in/company/LALPATHLAB/consolidated/,"21,518","2,578","2,767","1,762",71.4,212,0.47,18.2,15.0,10.0,5.14,46.3,49.8,8.35,14.9,6.84,49.0,13.1,0.93,0.17,LALPATHLAB
1548,Healthcare companies,Dr Lal Pathlabs,https://www.screener.in/company/ASTERDM/consolidated/,"20,470",410,424,201,63.1,87.6,0.0,9.21,11.0,10.0,19.6,104,49.8,50.0,11.3,3.44,68.8,-0.62,0.97,1.37,ASTERDM
1549,Healthcare companies,Aster DM Health.,https://www.screener.in/company/KIMS/consolidated/,"15,839","1,979","2,230","1,282",46.3,227,0.0,23.7,21.3,10.0,31.3,54.4,49.8,8.00,25.1,11.2,56.2,11.5,0.89,0.53,KIMS
1550,Healthcare companies,Krishna Institu.,https://www.screener.in/company/POLYMED/consolidated/,"14,295","1,490","1,677",820,61.2,139,0.2,18.3,14.8,5.00,23.6,81.6,49.8,9.59,17.5,11.2,46.2,6.48,0.89,0.1,POLYMED
1551,Healthcare companies,Poly Medicure,https://www.screener.in/company/RAINBOW/consolidated/,"12,110","1,193","1,216",682,56.2,112,0.25,24.1,25.5,10.0,22.9,74.9,49.8,10.2,17.7,1.88,66.1,6.20,0.98,0.55,RAINBOW
1552,Healthcare companies,Rainbow Child.,https://www.screener.in/company/METROPOLIS/consolidated/,"8,596","1,678","1,755","1,171",64.4,204,0.48,17.4,15.2,2.00,-2.17,43.3,49.8,5.12,10.3,4.37,56.1,6.92,0.96,0.22,METROPOLIS
1553,Healthcare companies,Metropolis Healt,https://www.screener.in/company/JLHL/consolidated/,"7,146","1,090","1,221",960,96.6,165,0.0,21.4,22.5,10.0,21.8,13.5,49.8,6.56,24.5,10.7,45.4,5.14,0.89,0.0,JLHL
1554,Healthcare companies,Jupiter Life Lin,https://www.screener.in/company/VIJAYA/consolidated/,"6,910",676,686,349,66.8,58.4,0.15,18.4,16.6,1.00,9.27,93.5,49.8,10.2,10.7,1.52,63.7,3.26,0.98,0.42,VIJAYA
1555,Healthcare companies,Vijaya Diagnost.,https://www.screener.in/company/HCG/consolidated/,"5,091",366,389,249,210,61.6,0.0,8.39,2.10,10.0,17.0,46.7,49.8,13.9,15.7,6.13,50.4,0.97,0.94,1.14,HCG
1556,Healthcare companies,Health.Global,https://www.screener.in/company/THYROCARE/,"3,408",644,690,415,57.2,89.2,2.8,15.3,10.6,10.0,5.00,54.9,49.8,5.30,6.65,6.73,59.1,3.83,0.93,0.09,THYROCARE
1557,Healthcare companies,Thyrocare Tech.,https://www.screener.in/company/KOVAI/,"3,391","3,099","3,570","1,666",24.9,714,0.16,16.8,17.7,10.0,18.3,86.0,49.8,1.09,12.7,13.2,45.5,39.7,0.87,0.5,KOVAI
1558,Healthcare companies,Kovai Medical,https://www.screener.in/company/SHALBY/consolidated/,"3,268",303,330,114,42.1,89.2,0.4,10.6,7.37,10.0,20.1,165,49.8,10.8,18.2,8.19,48.8,2.55,0.92,0.17,SHALBY
