Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Miscellaneous companies,Multi Comm. Exc.,https://www.screener.in/company/IEX/,14980.0,168.0,172.0,116.0,48.2,9.56,,51.8,39.4,1.0,0.1,44.8,37.4,89.2,16.0,2.5,70.6,0.93,0.98,0.01,IEX
Miscellaneous companies,Indian Energy Ex,https://www.screener.in/company/NBCC/,14679.0,81.6,85.9,31.0,39.0,10.9,,26.4,19.0,1.0,11.0,163.0,37.4,180.0,8.94,5.1,60.4,0.47,0.95,0.0,NBCC
Miscellaneous companies,NBCC,https://www.screener.in/company/SFL/consolidated/,13483.0,1240.0,1370.0,906.0,67.1,263.0,,13.6,12.5,5.0,-9.62,37.0,37.4,10.9,10.6,9.46,60.1,4.05,0.91,0.2,SFL
Miscellaneous companies,Sheela Foam,https://www.screener.in/company/CAMS/,13030.0,2651.0,2989.0,2002.0,43.8,163.0,,48.5,39.7,10.0,5.86,32.4,37.4,4.91,12.0,11.3,45.4,16.6,0.89,0.1,CAMS
Miscellaneous companies,Cams Services,https://www.screener.in/company/GODREJAGRO/consolidated/,10715.0,557.0,573.0,391.0,30.8,123.0,,9.63,10.5,10.0,4.23,42.6,23.8,19.2,10.4,2.66,71.8,5.48,0.97,0.66,GODREJAGRO
Miscellaneous companies,Godrej Agrovet,https://www.screener.in/company/RTNINDIA/consolidated/,10540.0,76.2,86.0,32.0,53.8,5.28,,3.12,-7.39,2.0,162.0,138.0,37.4,138.0,,11.3,50.9,1.02,0.89,1.74,RTNINDIA
Miscellaneous companies,RattanIndia Ent,https://www.screener.in/company/SPARC/,9307.0,287.0,291.0,160.0,,10.2,,-106.0,-144.0,1.0,51.9,78.7,37.4,32.4,46.0,1.44,64.4,-2.66,0.99,0.04,SPARC
Miscellaneous companies,SPARC,https://www.screener.in/company/KFINTECH/consolidated/,8237.0,483.0,564.0,271.0,38.3,58.1,,29.3,25.9,10.0,9.23,78.1,37.4,17.1,17.0,14.4,42.0,3.61,0.86,0.19,KFINTECH
Miscellaneous companies,KFin Technolog.,https://www.screener.in/company/GREENLAM/consolidated/,6807.0,534.0,626.0,282.0,46.7,80.7,,13.8,15.3,1.0,13.4,89.5,37.4,12.8,15.3,14.8,42.1,3.27,0.85,0.93,GREENLAM
Miscellaneous companies,Greenlam Industr,https://www.screener.in/company/SIS/consolidated/,6621.0,454.0,502.0,318.0,18.3,170.0,,10.6,15.6,5.0,11.7,42.9,37.4,14.6,10.2,9.5,46.2,5.17,0.9,0.7,SIS
Miscellaneous companies,SIS,https://www.screener.in/company/THOMASCOOK/consolidated/,6393.0,136.0,168.0,52.1,49.4,38.8,,5.23,0.39,1.0,90.1,161.0,30.6,47.1,-9.6,19.1,38.3,1.0,0.81,0.25,THOMASCOOK
Miscellaneous companies,Thomas Cook (I),https://www.screener.in/company/NESCO/,6220.0,883.0,924.0,505.0,19.5,298.0,,21.8,16.7,2.0,42.1,74.8,37.4,7.05,8.14,4.46,63.0,12.5,0.96,0.0,NESCO
Miscellaneous companies,NESCO,https://www.screener.in/company/CMSINFO/,5988.0,383.0,421.0,261.0,20.6,103.0,,28.2,20.2,10.0,16.6,46.7,37.4,15.6,13.6,9.21,48.9,4.55,0.91,0.12,CMSINFO
Miscellaneous companies,CMS Info Systems,https://www.screener.in/company/AVANTIFEED/consolidated/,5723.0,420.0,488.0,321.0,16.8,161.0,,18.3,13.4,1.0,-5.0,30.8,23.8,13.6,7.32,13.9,68.0,5.45,0.86,0.0,AVANTIFEED
Miscellaneous companies,Avanti Feeds,https://www.screener.in/company/TEAMLEASE/consolidated/,5363.0,3198.0,3247.0,2007.0,49.7,442.0,,13.9,14.4,10.0,14.4,59.3,37.4,1.68,14.8,1.51,80.3,16.3,0.98,0.14,TEAMLEASE
Miscellaneous companies,Team Lease Serv.,https://www.screener.in/company/GREENPANEL/consolidated/,5251.0,428.0,444.0,255.0,28.4,104.0,,27.2,23.6,1.0,-9.32,67.9,37.4,12.3,26.7,3.45,82.6,3.34,0.97,0.14,GREENPANEL
Miscellaneous companies,Greenpanel Inds.,https://www.screener.in/company/DELTACORP/consolidated/,3908.0,146.0,260.0,123.0,14.3,87.7,,16.3,12.4,1.0,5.9,19.0,14.3,26.8,9.69,43.8,57.2,2.59,0.56,0.03,DELTACORP
Miscellaneous companies,Delta Corp,https://www.screener.in/company/SANGHVIMOV/,3542.0,818.0,888.0,305.0,24.0,209.0,,15.2,12.4,2.0,35.5,168.0,37.4,4.33,12.2,7.88,52.3,8.59,0.92,0.37,SANGHVIMOV
Miscellaneous companies,Sanghvi Movers,https://www.screener.in/company/KSCL/consolidated/,3426.0,613.0,692.0,466.0,11.1,296.0,,17.1,16.3,2.0,7.63,31.3,37.4,5.59,4.76,11.5,51.8,2.45,0.89,0.0,KSCL
Miscellaneous companies,Kaveri Seed Co.,https://www.screener.in/company/GENSOL/,3202.0,846.0,946.0,266.0,76.9,76.9,,12.4,21.4,10.0,74.8,218.0,37.4,3.79,69.5,10.6,66.0,7.42,0.89,2.99,GENSOL
Miscellaneous companies,Gensol Engineer.,https://www.screener.in/company/GREENPLY/consolidated/,2950.0,238.0,250.0,134.0,55.6,53.4,,11.6,14.1,1.0,8.98,78.2,37.4,12.4,9.12,4.5,69.1,1.13,0.95,1.15,GREENPLY
Miscellaneous companies,Greenply Industr,https://www.screener.in/company/STYLAMIND/,2918.0,1722.0,1980.0,942.0,26.4,278.0,,31.8,26.3,5.0,11.0,82.8,37.4,1.69,27.2,13.0,43.8,18.7,0.87,0.0,STYLAMIND
Miscellaneous companies,Stylam Industrie,https://www.screener.in/company/DREAMFOLKS/,2824.0,540.0,847.0,359.0,37.4,37.4,,76.9,60.2,2.0,87.2,50.4,37.4,5.22,28.2,36.2,49.9,3.47,0.64,0.01,DREAMFOLKS
Miscellaneous companies,Dreamfolks Servi,https://www.screener.in/company/BSHSL/,2808.0,268.0,666.0,207.0,135.0,6.53,,22.2,35.0,1.0,18.3,29.0,37.4,10.5,30.2,59.8,60.2,0.15,0.4,0.32,BSHSL
Miscellaneous companies,Bombay Super Hyb,https://www.screener.in/company/TARSONS/,2806.0,527.0,723.0,444.0,45.7,111.0,,19.0,15.2,2.0,-7.86,18.7,37.4,5.32,17.2,27.1,58.2,2.41,0.73,0.21,TARSONS
Miscellaneous companies,Tarsons Products,https://www.screener.in/company/VENKEYS/,2749.0,1951.0,2315.0,1420.0,28.9,954.0,,7.76,5.54,10.0,-11.5,37.4,37.4,1.41,9.09,15.7,47.4,24.2,0.84,0.13,VENKEYS
Miscellaneous companies,Venky's (India),https://www.screener.in/company/CONFIPET/consolidated/,2590.0,89.6,105.0,55.3,22.7,30.9,,13.1,12.3,1.0,82.4,62.1,37.4,28.9,27.0,14.6,45.2,1.13,0.85,0.51,CONFIPET
Miscellaneous companies,Confidence Petro,https://www.screener.in/company/UDS/,2248.0,337.0,373.0,235.0,65.8,,,12.2,11.1,10.0,22.2,43.2,37.4,6.67,6.16,9.66,68.8,1.19,0.9,0.3,UDS
Miscellaneous companies,Updater Services,https://www.screener.in/company/IRMENERGY/,2210.0,538.0,564.0,435.0,39.3,,,17.8,21.9,10.0,93.3,23.7,37.4,4.11,80.9,4.63,66.5,9.29,0.95,0.92,IRMENERGY
Miscellaneous companies,IRM Energy,https://www.screener.in/company/DREDGECORP/,1678.0,599.0,629.0,275.0,51.9,518.0,,2.51,0.89,10.0,12.7,118.0,37.4,2.8,15.8,4.68,63.1,5.99,0.95,0.27,DREDGECORP
Miscellaneous companies,Dredging Corpn.,https://www.screener.in/company/531637/,1670.0,731.0,784.0,275.0,83.7,73.4,,56.2,43.0,10.0,4.72,166.0,37.4,2.28,12.3,6.68,65.1,0.93,0.93,0.01,531637
Miscellaneous companies,Praveg,https://www.screener.in/company/CUPID/,1494.0,1120.0,1122.0,235.0,58.3,128.0,,26.4,20.3,10.0,7.44,376.0,37.4,1.33,-0.2,0.12,80.7,3.84,1.0,0.05,CUPID
Miscellaneous companies,Cupid,https://www.screener.in/company/POKARNA/consolidated/,1489.0,480.0,600.0,234.0,23.3,179.0,,14.6,13.8,2.0,-25.1,106.0,37.4,3.1,22.7,20.0,37.8,10.6,0.8,0.75,POKARNA
Miscellaneous companies,Pokarna,https://www.screener.in/company/AWHCL/consolidated/,1375.0,484.0,533.0,239.0,20.4,188.0,,15.5,15.2,5.0,10.6,103.0,37.4,2.84,23.8,9.14,56.5,9.77,0.91,0.75,AWHCL
Miscellaneous companies,Antony Waste han,https://www.screener.in/company/GULPOLY/,1319.0,211.0,275.0,159.0,39.9,92.8,,8.68,7.81,1.0,9.1,32.8,37.4,6.24,23.9,23.1,46.3,0.36,0.77,0.62,GULPOLY
Miscellaneous companies,Gulshan Polyols,https://www.screener.in/company/ATL/consolidated/,1291.0,52.6,57.0,31.3,22.5,8.73,,28.3,55.0,2.0,450.0,67.9,37.4,24.6,,7.81,55.1,0.48,0.92,1.85,ATL
Miscellaneous companies,Allcargo Termi,https://www.screener.in/company/MATRIMONY/consolidated/,1290.0,580.0,723.0,498.0,26.0,121.0,,16.0,15.0,5.0,4.4,16.5,37.4,2.23,7.02,19.8,69.6,5.63,0.8,0.24,MATRIMONY
Miscellaneous companies,Matrimony.com,https://www.screener.in/company/531859/consolidated/,1249.0,232.0,254.0,33.5,176.0,22.4,,5.93,3.0,1.0,128.0,592.0,37.4,5.39,6.86,8.76,77.0,1.43,0.91,2.56,531859
Miscellaneous companies,Oriental Rail,https://www.screener.in/company/543284/,1168.0,424.0,1315.0,355.0,,169.0,,31.9,25.1,10.0,-68.1,19.4,37.4,2.75,167.0,67.7,47.0,-15.2,0.32,0.03,543284
Miscellaneous companies,EKI Energy,https://www.screener.in/company/RUSHIL/,1040.0,392.0,407.0,203.0,22.3,185.0,,16.9,23.9,10.0,5.88,93.4,37.4,2.65,35.7,3.75,60.1,3.97,0.96,0.63,RUSHIL
Miscellaneous companies,Rushil Decor,https://www.screener.in/company/RADIANTCMS/,950.0,89.0,117.0,86.2,16.7,21.8,,48.3,33.9,1.0,12.5,3.31,37.4,10.7,12.6,23.8,46.4,0.95,0.76,0.11,RADIANTCMS
Miscellaneous companies,Radiant Cash,https://www.screener.in/company/VIMTALABS/,894.0,404.0,623.0,289.0,22.5,133.0,,24.3,18.4,2.0,4.58,39.7,37.4,2.22,20.4,35.2,40.1,2.67,0.65,0.07,VIMTALABS
Miscellaneous companies,Vimta Labs,https://www.screener.in/company/KOTYARK/,854.0,977.0,1050.0,262.0,51.3,70.7,,33.6,27.5,10.0,36.9,273.0,37.4,0.87,64.0,6.93,63.6,10.7,0.93,0.58,KOTYARK
Miscellaneous companies,Kotyark Indust.,https://www.screener.in/company/504341/consolidated/,846.0,54.9,78.9,40.0,40.3,14.4,,12.6,12.0,10.0,-69.3,37.2,37.4,15.4,-29.4,30.5,42.4,0.56,0.7,0.63,504341
Miscellaneous companies,Ravindra Energy,https://www.screener.in/company/SUKHJITS/consolidated/,766.0,490.0,540.0,360.0,15.2,312.0,,15.2,14.3,10.0,0.18,36.2,37.4,1.56,21.9,9.2,55.2,7.29,0.91,0.76,SUKHJITS
Miscellaneous companies,Sukhjit Starch,https://www.screener.in/company/GSLSU/consolidated/,763.0,180.0,240.0,148.0,49.0,62.9,,8.99,12.2,10.0,-6.43,21.9,37.4,4.24,2.89,25.0,34.5,0.64,0.75,0.46,GSLSU
Miscellaneous companies,Global Surfaces,https://www.screener.in/company/530643/consolidated/,736.0,381.0,454.0,99.0,71.2,29.9,,7.63,8.57,10.0,24.0,285.0,37.4,1.93,13.3,16.0,48.6,3.03,0.84,0.1,530643
Miscellaneous companies,Eco Recyc.,https://www.screener.in/company/MAXIND/consolidated/,705.0,163.0,195.0,76.0,,123.0,,0.53,-1.81,10.0,-2.1,115.0,37.4,4.32,-1.8,16.3,67.4,-1.09,0.84,0.03,MAXIND
Miscellaneous companies,Max India Ltd,https://www.screener.in/company/500306/consolidated/,703.0,120.0,130.0,40.0,70.1,29.2,,2.77,1.49,1.0,40.1,201.0,37.4,5.85,433.0,7.66,71.4,0.43,0.92,0.37,500306
Miscellaneous companies,Jaykay Enter.,https://www.screener.in/company/APEX/,699.0,224.0,259.0,184.0,44.5,161.0,,10.6,7.4,10.0,-8.64,21.6,32.0,3.12,8.97,13.6,60.0,2.67,0.86,0.17,APEX
Miscellaneous companies,Apex Frozen Food,https://www.screener.in/company/PTL/,547.0,41.3,48.0,29.5,25.9,55.6,,8.83,3.63,1.0,0.88,40.0,37.4,13.2,0.58,14.0,42.2,0.77,0.86,0.03,PTL
Miscellaneous companies,PTL Enterprises,https://www.screener.in/company/519421/,544.0,1700.0,1984.0,1459.0,,637.0,,-0.91,-1.68,10.0,2.11,16.5,23.8,0.32,4.06,14.3,57.4,-4.44,0.86,0.22,519421
Miscellaneous companies,KSE,https://www.screener.in/company/PROZONER/consolidated/,518.0,34.0,41.5,20.5,23.5,34.2,,6.99,4.98,2.0,88.1,65.6,37.4,15.3,26.8,18.2,51.3,0.09,0.82,0.75,PROZONER
Miscellaneous companies,Prozone Realty,https://www.screener.in/company/UNIVPHOTO/consolidated/,472.0,431.0,567.0,330.0,,884.0,,-6.85,-7.32,10.0,-37.9,30.7,,1.09,-11.5,24.0,59.3,-44.0,0.76,0.0,UNIVPHOTO
Miscellaneous companies,Universus Photo,https://www.screener.in/company/543895/consolidated/,448.0,377.0,428.0,64.0,37.8,39.4,,101.0,79.4,10.0,93.0,489.0,37.4,1.19,,11.9,53.2,6.22,0.88,0.01,543895
Miscellaneous companies,Exhicon Events,https://www.screener.in/company/OSWALSEEDS/consolidated/,433.0,56.8,85.1,43.1,119.0,6.17,,14.0,13.8,2.0,13.2,31.6,37.4,7.62,32.7,33.3,31.0,0.08,0.67,1.12,OSWALSEEDS
Miscellaneous companies,Shreeoswal Seeds,https://www.screener.in/company/DUGLOBAL/consolidated/,412.0,59.2,75.8,26.8,,3.36,,8.99,4.08,2.0,-15.8,120.0,37.4,6.97,5.77,21.9,62.0,0.05,0.78,0.25,DUGLOBAL
Miscellaneous companies,DU Digital,https://www.screener.in/company/530215/,407.0,173.0,185.0,80.2,51.6,17.2,,17.6,17.5,10.0,67.6,116.0,32.0,2.35,22.4,6.38,58.1,0.94,0.94,0.79,530215
Miscellaneous companies,Kings Infra,https://www.screener.in/company/CRAYONS/,402.0,164.0,182.0,90.0,26.5,37.7,,38.4,33.2,10.0,-0.61,82.7,37.4,2.44,19.6,9.62,55.5,2.09,0.9,0.05,CRAYONS
Miscellaneous companies,Crayons Advertis,https://www.screener.in/company/NATHBIOGEN/,394.0,207.0,245.0,128.0,10.3,318.0,,7.08,6.31,10.0,17.0,61.6,37.4,1.9,-1.68,15.2,55.2,1.07,0.85,0.19,NATHBIOGEN
Miscellaneous companies,Nath Bio-Genes,https://www.screener.in/company/500213/,373.0,467.0,470.0,188.0,11.9,165.0,,16.6,25.4,10.0,36.4,148.0,30.6,0.8,-4.17,0.56,71.9,7.04,0.99,0.0,500213
Miscellaneous companies,Intl. Travel Hse,https://www.screener.in/company/REPL/consolidated/,355.0,205.0,236.0,132.0,27.1,67.1,,16.2,12.2,10.0,23.2,55.5,37.4,1.73,4.1,13.1,44.3,2.26,0.87,0.11,REPL
Miscellaneous companies,Rudrabhish. Ent.,https://www.screener.in/company/COASTCORP/consolidated/,348.0,261.0,309.0,166.0,,195.0,,5.48,2.93,10.0,-31.2,57.4,32.0,1.33,-16.4,15.6,49.6,3.32,0.84,1.01,COASTCORP
Miscellaneous companies,Coastal Corporat,https://www.screener.in/company/TAKE/consolidated/,341.0,23.0,26.2,12.7,,6.89,,-14.0,-62.5,1.0,-64.6,81.5,37.4,14.8,-56.0,12.2,52.2,-0.1,0.88,0.42,TAKE
Miscellaneous companies,Take Solutions,https://www.screener.in/company/538607/,334.0,5.91,19.4,4.65,,7.63,,-32.1,-32.2,1.0,-15.9,27.1,37.4,42.6,21.3,69.6,58.2,0.03,0.3,0.0,538607
Miscellaneous companies,Toyam Sports,https://www.screener.in/company/WATERBASE/,322.0,77.7,93.2,56.1,,43.8,,-1.47,-2.28,10.0,26.0,38.4,32.0,4.14,-2.17,16.7,59.6,-0.58,0.83,0.12,WATERBASE
Miscellaneous companies,Waterbase,https://www.screener.in/company/USASEEDS/,286.0,405.0,912.0,295.0,39.2,58.7,,12.8,19.1,10.0,75.0,37.2,37.4,0.71,67.7,55.6,50.7,3.8,0.44,0.31,USASEEDS
Miscellaneous companies,Upsurge Seeds,https://www.screener.in/company/PROPEQUITY/,268.0,256.0,324.0,130.0,31.4,65.2,,20.3,15.2,10.0,-6.51,96.5,37.4,1.05,9.29,21.0,56.4,3.97,0.79,0.0,PROPEQUITY
Miscellaneous companies,P.E. Analytics,https://www.screener.in/company/538942/consolidated/,260.0,23.2,27.2,15.0,51.1,31.7,,2.54,4.14,10.0,33.4,54.6,37.4,11.2,7.23,14.7,58.1,0.13,0.85,0.0,538942
Miscellaneous companies,Mercantile Vent.,https://www.screener.in/company/KAPSTON/,254.0,250.0,260.0,117.0,26.4,64.8,,7.91,9.04,10.0,33.2,115.0,37.4,1.01,23.2,3.58,70.0,4.27,0.96,1.53,KAPSTON
Miscellaneous companies,Kapston Services,https://www.screener.in/company/RUCHINFRA/consolidated/,250.0,11.6,19.1,7.35,92.2,9.02,,4.01,0.83,1.0,-4.65,57.8,37.4,20.5,-9.31,39.2,37.0,0.45,0.61,0.6,RUCHINFRA
Miscellaneous companies,Ruchi Infrastr.,https://www.screener.in/company/539275/,247.0,225.0,309.0,87.4,18.5,56.7,,21.7,21.8,10.0,58.6,158.0,37.4,1.1,21.4,27.2,50.4,2.73,0.73,0.55,539275
Miscellaneous companies,MANGALAM SEEDS,https://www.screener.in/company/543615/,242.0,236.0,269.0,123.0,19.6,55.3,,34.6,31.4,10.0,35.5,91.4,37.4,1.03,43.6,12.2,58.0,6.94,0.88,0.15,543615
Miscellaneous companies,Silicon Rental,https://www.screener.in/company/AARVI/consolidated/,233.0,158.0,185.0,100.0,19.4,75.2,,17.5,15.0,10.0,9.49,57.0,37.4,1.48,26.0,14.6,61.2,1.77,0.85,0.09,AARVI
Miscellaneous companies,Aarvi Encon,https://www.screener.in/company/LLOYDS/,223.0,99.0,128.0,40.0,,28.8,,-4.86,-7.18,10.0,26.0,148.0,37.4,2.25,7.05,22.8,47.5,-2.2,0.77,0.0,LLOYDS
Miscellaneous companies,Lloyds Luxuries,https://www.screener.in/company/SUVIDHAA/consolidated/,218.0,10.5,10.6,3.2,,3.03,,-1.89,-2.46,1.0,-17.3,228.0,37.4,20.7,-52.1,0.57,89.6,-0.16,0.99,0.0,SUVIDHAA
Miscellaneous companies,Suvidhaa Info.,https://www.screener.in/company/INFOLLION/,216.0,223.0,291.0,162.0,35.5,38.2,,52.9,39.0,10.0,55.1,37.5,37.4,0.97,37.9,23.4,40.7,4.36,0.77,0.0,INFOLLION
Miscellaneous companies,Infollion Resea.,https://www.screener.in/company/MODIRUBBER/consolidated/,213.0,85.0,102.0,51.1,11.6,258.0,,4.89,4.32,10.0,161.0,66.3,37.4,2.5,2.85,17.1,43.2,1.27,0.83,0.03,MODIRUBBER
Miscellaneous companies,Modi Rubber,https://www.screener.in/company/IEL/consolidated/,209.0,10.6,27.1,7.43,,13.4,,3.89,2.75,2.0,-21.3,42.0,37.4,19.8,,61.1,42.0,-0.2,0.39,0.95,IEL
Miscellaneous companies,Indiabulls Enter,https://www.screener.in/company/TOTAL/consolidated/,209.0,130.0,187.0,110.0,209.0,48.6,,14.7,7.91,10.0,-31.4,17.8,37.4,1.61,13.9,30.5,59.8,-0.14,0.69,0.37,TOTAL
Miscellaneous companies,Total Transport,https://www.screener.in/company/EFACTOR/consolidated/,207.0,158.0,208.0,115.0,27.6,,,77.4,104.0,10.0,111.0,37.8,37.4,1.31,61.2,23.8,44.3,0.76,0.76,0.82,EFACTOR
Miscellaneous companies,E Factor Experie,https://www.screener.in/company/531771/consolidated/,203.0,100.0,100.0,17.8,406.0,25.3,,,,10.0,,464.0,37.4,2.02,,0.0,90.4,1.06,1.0,0.0,531771
Miscellaneous companies,Shraddha Prime,https://www.screener.in/company/543991/,197.0,267.0,354.0,86.1,43.8,33.8,,83.1,91.1,10.0,50.4,210.0,37.4,0.74,,24.4,44.7,4.39,0.76,0.01,543991
Miscellaneous companies,Techknowgreen,https://www.screener.in/company/ARCHIDPLY/consolidated/,197.0,99.0,99.8,49.7,19.5,54.9,,13.4,12.5,10.0,37.7,99.1,37.4,1.99,,0.85,72.7,1.45,0.99,1.05,ARCHIDPLY
Miscellaneous companies,Archidply Inds.,https://www.screener.in/company/AIROLAM/,196.0,130.0,144.0,64.5,22.9,45.9,,12.6,12.3,10.0,6.18,102.0,37.4,1.5,23.4,9.35,56.6,1.18,0.91,0.76,AIROLAM
Miscellaneous companies,Airo Lam,https://www.screener.in/company/531412/,191.0,127.0,133.0,57.5,104.0,11.8,,9.96,8.4,10.0,58.4,121.0,104.0,1.5,35.4,4.44,60.0,0.3,0.96,0.33,531412
Miscellaneous companies,Radix Industries,https://www.screener.in/company/536493/,188.0,405.0,550.0,352.0,,270.0,,-4.76,-7.88,10.0,-34.6,15.1,37.4,0.46,3.74,26.4,41.7,-23.7,0.74,0.39,536493
Miscellaneous companies,JK Agri Genetics,https://www.screener.in/company/543997/consolidated/,182.0,236.0,310.0,214.0,49.8,,,8.78,22.1,10.0,69.2,10.3,37.4,0.77,,23.9,36.0,2.61,0.76,0.93,543997
Miscellaneous companies,Organic Recyclin,https://www.screener.in/company/NIRMAN/,181.0,303.0,325.0,48.8,28.7,51.8,,26.6,27.1,10.0,112.0,521.0,37.4,0.6,,6.68,67.1,6.59,0.93,0.03,NIRMAN
Miscellaneous companies,Nirman Agri,https://www.screener.in/company/ISFT/consolidated/,178.0,121.0,178.0,94.0,19.0,125.0,,6.31,4.84,10.0,11.3,28.8,37.4,1.47,-8.2,31.8,47.8,1.66,0.68,0.8,ISFT
Miscellaneous companies,Intrasoft Tech.,https://www.screener.in/company/TRANSTEEL/,173.0,85.9,112.0,80.4,18.9,,,42.9,59.6,10.0,112.0,6.91,37.4,2.02,,23.6,43.4,3.12,0.76,1.35,TRANSTEEL
Miscellaneous companies,Transteel Seatin,https://www.screener.in/company/DYNAMIC/,173.0,128.0,165.0,16.2,13.6,43.8,,21.0,19.2,10.0,9.56,686.0,37.4,1.35,438.0,22.5,51.4,2.91,0.77,0.34,DYNAMIC
Miscellaneous companies,Dynamic Services,https://www.screener.in/company/URBAN/,163.0,377.0,541.0,72.2,78.0,43.4,,17.2,46.3,10.0,98.9,422.0,37.4,0.43,45.8,30.4,45.8,9.24,0.7,1.1,URBAN
Miscellaneous companies,Urban Enviro,https://www.screener.in/company/PARTYCRUS/,157.0,140.0,150.0,44.0,33.5,20.7,,30.8,24.2,10.0,128.0,219.0,37.4,1.12,38.1,6.05,69.2,0.41,0.94,0.01,PARTYCRUS
Miscellaneous companies,Party Cruisers,https://www.screener.in/company/539927/,153.0,154.0,154.0,124.0,,34.7,,0.67,0.49,10.0,-47.1,24.3,37.4,0.99,7.43,0.0,79.3,0.01,1.0,0.0,539927
Miscellaneous companies,Likhami Consult.,https://www.screener.in/company/IPSL/consolidated/,146.0,203.0,210.0,66.0,27.9,48.3,,18.6,18.3,10.0,16.5,208.0,37.4,0.72,5.33,3.47,67.5,3.36,0.97,0.77,IPSL
Miscellaneous companies,Integrated Perso,https://www.screener.in/company/ANLON/,145.0,258.0,342.0,131.0,32.6,49.0,,37.6,29.4,10.0,70.1,96.8,37.4,0.56,29.6,24.6,50.8,3.96,0.75,0.08,ANLON
Miscellaneous companies,Anlon Tech,https://www.screener.in/company/516003/,144.0,180.0,250.0,101.0,29.3,116.0,,11.4,6.59,10.0,23.1,78.6,37.4,0.8,13.6,27.8,61.9,0.84,0.72,0.51,516003
Miscellaneous companies,Duroply Indust.,https://www.screener.in/company/543464/,141.0,93.5,147.0,65.6,34.4,19.7,,21.6,16.8,10.0,-0.72,42.4,37.4,1.51,29.0,36.4,44.5,1.56,0.64,0.11,543464
Miscellaneous companies,Maruti Interior,https://www.screener.in/company/523483/consolidated/,139.0,202.0,302.0,104.0,21.2,617.0,,2.64,1.63,10.0,-37.8,94.1,37.4,0.69,24.8,33.3,82.3,2.13,0.67,0.13,523483
Miscellaneous companies,Pacific Inds,https://www.screener.in/company/WIPL/consolidated/,137.0,161.0,172.0,73.3,40.6,49.1,,11.4,8.78,10.0,-0.58,120.0,37.4,0.85,3.55,6.26,57.7,1.25,0.94,0.39,WIPL
Miscellaneous companies,W I Plywoods,https://www.screener.in/company/519397/,132.0,55.0,67.8,42.1,19.5,34.8,,11.1,8.79,10.0,9.88,30.6,32.0,2.39,18.6,18.9,42.1,1.18,0.81,1.03,519397
Miscellaneous companies,Sharat Industrie,https://www.screener.in/company/PARIN/,125.0,112.0,114.0,64.6,32.2,44.6,,8.26,5.67,10.0,36.5,73.4,37.4,1.11,6.84,1.75,73.7,1.31,0.98,0.68,PARIN
Miscellaneous companies,Parin Furniture,https://www.screener.in/company/SHREEOSFM/,124.0,87.0,87.0,63.0,40.2,,,19.6,16.3,10.0,171.0,38.0,37.4,1.43,,0.0,,2.12,1.0,0.45,SHREEOSFM
Miscellaneous companies,Shree OSFM,https://www.screener.in/company/MITCON/consolidated/,124.0,92.4,105.0,57.0,37.6,79.0,,5.35,4.37,10.0,36.1,62.0,37.4,1.34,10.9,11.9,49.7,0.82,0.88,1.19,MITCON
Miscellaneous companies,Mitcon Consult.,https://www.screener.in/company/GTECJAINX/consolidated/,124.0,122.0,141.0,34.4,135.0,5.09,,29.5,29.0,10.0,5.62,253.0,37.4,1.02,2.49,13.6,64.7,0.08,0.86,0.14,GTECJAINX
Miscellaneous companies,G-Tec Janix,https://www.screener.in/company/OBCL/,124.0,58.6,94.8,42.6,93.6,42.8,,6.09,3.55,10.0,-2.16,37.6,37.4,2.11,-1.91,38.2,45.6,0.92,0.62,0.23,OBCL
Miscellaneous companies,Orissa Bengal,https://www.screener.in/company/CROWN/,119.0,115.0,115.0,29.0,25.7,22.4,,9.73,16.4,10.0,3.27,295.0,37.4,1.04,10.3,0.0,74.1,1.01,1.0,1.1,CROWN
Miscellaneous companies,Crown Lifters,https://www.screener.in/company/531688/,117.0,141.0,166.0,40.2,16.3,45.1,,19.5,15.5,10.0,40.5,252.0,37.4,0.82,573.0,14.7,57.4,4.63,0.85,0.04,531688
Miscellaneous companies,Prithvi Exchange,https://www.screener.in/company/AGRITECH/,116.0,194.0,262.0,85.9,,154.0,,-0.35,-0.43,10.0,-34.8,126.0,37.4,0.59,-15.4,25.8,43.4,0.24,0.74,0.01,AGRITECH
Miscellaneous companies,Agri-Tech India,https://www.screener.in/company/BANKA/consolidated/,114.0,105.0,105.0,66.2,,35.9,,9.61,6.55,10.0,-12.0,59.0,37.4,1.08,-4.0,0.0,87.6,1.12,1.0,0.57,BANKA
Miscellaneous companies,Banka Bioloo,https://www.screener.in/company/540728/consolidated/,114.0,180.0,213.0,140.0,32.0,179.0,,5.4,0.54,5.0,5.62,28.6,37.4,0.63,17.6,15.5,56.1,-1.85,0.85,1.49,540728
Miscellaneous companies,Sayaji Industr,https://www.screener.in/company/514197/,112.0,35.1,69.0,22.3,,4.09,,0.94,1.0,2.0,-106.0,57.0,37.4,3.18,-24.1,49.1,46.8,-0.02,0.51,0.0,514197
