,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
383,https://www.screener.in/company/ZENSARTECH/consolidated/,12612.0,557.0,644.0,212.0,24.0,144.0,0.9,14.5,11.2,2.0,3.92,163.0,39.3,22.6,5.05,13.5,44.1,7.68,0.86,0.07
384,https://www.screener.in/company/ICICIPRULI/consolidated/,70009.0,486.0,616.0,381.0,76.7,76.9,0.12,10.0,8.45,10.0,52.0,27.7,42.3,144.0,33.0,21.0,23.3,1.58,0.79,0.11
385,https://www.screener.in/company/IBULHSGFIN/consolidated/,10041.0,204.0,235.0,91.8,8.76,384.0,0.61,9.79,6.62,2.0,-2.59,122.0,16.5,49.2,-13.0,13.2,43.7,6.21,0.87,2.63
386,https://www.screener.in/company/DLF/consolidated/,191960.0,775.0,816.0,336.0,85.9,153.0,0.52,4.61,5.47,2.0,-2.04,130.0,32.9,248.0,-2.17,4.94,64.6,2.52,0.95,0.09
387,https://www.screener.in/company/ELGIEQUIP/consolidated/,17256.0,544.0,623.0,355.0,42.9,46.1,0.37,24.4,23.8,1.0,11.4,53.2,42.9,31.7,18.5,12.7,56.5,2.88,0.87,0.43
388,https://www.screener.in/company/SBIN/consolidated/,560599.0,628.0,660.0,499.0,8.22,402.0,1.8,5.2,16.8,1.0,28.8,25.8,9.46,892.0,9.14,4.86,50.4,18.0,0.95,13.9
389,https://www.screener.in/company/SHARDACROP/consolidated/,3931.0,437.0,580.0,388.0,20.6,232.0,1.37,20.8,15.9,10.0,-3.7,12.5,34.0,9.02,26.4,24.7,50.3,-3.06,0.75,0.01
390,https://www.screener.in/company/LTIM/consolidated/,165886.0,5603.0,6443.0,4120.0,36.1,610.0,1.07,37.7,28.6,1.0,22.6,36.0,30.0,29.6,45.0,13.0,38.0,39.5,0.87,0.1
391,https://www.screener.in/company/JUBLFOOD/consolidated/,34579.0,524.0,587.0,412.0,147.0,31.6,0.23,16.2,18.1,2.0,7.31,27.2,113.0,66.0,9.51,10.7,36.8,1.47,0.89,1.25
392,https://www.screener.in/company/LAXMIMACH/consolidated/,14318.0,13394.0,15501.0,9031.0,34.4,2373.0,0.74,22.9,17.0,10.0,22.7,48.3,34.4,1.07,44.2,13.6,43.2,108.0,0.86,0.0
393,https://www.screener.in/company/BORORENEW/consolidated/,6380.0,489.0,573.0,380.0,839.0,71.6,0.0,0.0,0.0,1.0,0.0,28.6,35.9,13.0,0.0,14.7,57.4,1.92,0.85,0.52
394,https://www.screener.in/company/TATACONSUM/consolidated/,106591.0,1147.0,1216.0,685.0,86.3,174.0,0.74,9.32,6.86,1.0,11.4,67.4,29.9,92.9,12.7,5.71,74.2,3.64,0.94,0.09
395,https://www.screener.in/company/INDHOTEL/consolidated/,65885.0,464.0,479.0,280.0,59.9,58.3,0.22,12.6,12.7,1.0,38.6,65.5,39.6,142.0,9.19,3.2,59.8,1.18,0.97,0.33
396,https://www.screener.in/company/AXISBANK/consolidated/,338149.0,1098.0,1152.0,814.0,14.4,422.0,0.09,5.12,8.73,2.0,33.4,34.8,14.4,308.0,11.1,4.72,48.2,20.1,0.95,8.88
