Company_Type,Tiker_name,Company_name,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Company_link
Auto Ancillaries companies,LUMAXIND,Lumax Industries,2319.0,2480.0,2799.0,1630.0,22.6,651.0,1.09,,19.7,,15.7,52.1,32.7,0.93,13.1,11.4,44.7,28.1,0.89,0.98,https://www.screener.in/company/LUMAXIND/consolidated/
Auto Ancillaries companies,FMGOETZE,Federal-Mogul Go,2006.0,361.0,432.0,285.0,17.0,187.0,0.0,,11.0,,9.56,26.5,32.7,5.56,14.6,16.5,46.5,5.78,0.83,0.01,https://www.screener.in/company/FMGOETZE/consolidated/
Auto Ancillaries companies,SJS,SJS Enterprises,1921.0,619.0,745.0,378.0,32.5,155.0,0.0,,15.2,,5.35,63.9,32.7,3.1,11.1,16.9,43.4,5.27,0.83,0.12,https://www.screener.in/company/SJS/
Auto Ancillaries companies,GNA,GNA Axles,1911.0,445.0,583.0,336.0,14.6,181.0,1.35,,19.9,,12.1,32.6,32.7,4.29,20.3,23.7,61.6,6.44,0.76,0.26,https://www.screener.in/company/GNA/
Auto Ancillaries companies,TALBROAUTO,Talbros Auto.,1845.0,299.0,348.0,76.0,27.1,73.0,0.2,,16.5,,16.4,293.0,32.7,6.17,18.9,14.0,55.7,3.25,0.86,0.19,https://www.screener.in/company/TALBROAUTO/consolidated/
Auto Ancillaries companies,WHEELS,Wheels India,1671.0,694.0,855.0,432.0,36.7,328.0,1.0,,7.22,,5.27,60.6,32.7,2.41,20.3,18.8,53.1,1.81,0.81,1.0,https://www.screener.in/company/WHEELS/consolidated/
Auto Ancillaries companies,IGARASHI,Igarashi Motors,1633.0,519.0,692.0,330.0,138.0,140.0,0.19,,1.19,,21.4,57.3,32.7,3.15,7.09,25.1,45.0,0.46,0.75,0.28,https://www.screener.in/company/IGARASHI/
Auto Ancillaries companies,ALICON,Alicon Cast.,1400.0,869.0,1004.0,645.0,28.4,316.0,0.72,,11.0,,7.24,34.7,32.7,1.61,13.5,13.5,58.6,9.01,0.87,0.61,https://www.screener.in/company/ALICON/consolidated/
Auto Ancillaries companies,RML,Rane (Madras),1332.0,819.0,990.0,386.0,9.06,157.0,0.0,,14.8,,14.9,112.0,32.7,1.63,22.6,17.4,50.0,10.9,0.83,2.59,https://www.screener.in/company/RML/consolidated/
Auto Ancillaries companies,IMPAL,India Motor Part,1257.0,1008.0,1141.0,514.0,16.2,1388.0,2.38,,4.94,,2.15,96.0,32.7,1.25,10.9,11.7,54.0,16.6,0.88,0.0,https://www.screener.in/company/IMPAL/
Auto Ancillaries companies,520073,RACL Geartech,1255.0,1164.0,1525.0,675.0,31.0,171.0,0.13,,25.5,,23.0,72.5,32.7,1.08,19.0,23.7,39.9,9.46,0.76,1.36,https://www.screener.in/company/520073/
Auto Ancillaries companies,INDNIPPON,India Nipp.Elec.,1210.0,535.0,575.0,325.0,22.2,259.0,1.73,,9.05,,3.81,64.6,32.7,2.26,11.1,6.99,52.8,7.75,0.93,0.01,https://www.screener.in/company/INDNIPPON/consolidated/
Auto Ancillaries companies,RICOAUTO,Rico Auto Inds,1172.0,86.6,112.0,63.0,24.0,51.4,0.87,,7.36,,4.85,37.6,32.7,13.5,18.0,22.3,45.0,0.5,0.78,1.04,https://www.screener.in/company/RICOAUTO/consolidated/
Auto Ancillaries companies,JAYBARMARU,Jay Bharat Maru.,1151.0,106.0,138.0,50.0,33.4,47.6,0.66,,7.56,,0.88,113.0,32.7,10.8,12.2,22.8,52.2,0.8,0.77,0.85,https://www.screener.in/company/JAYBARMARU/
Auto Ancillaries companies,533477,Enkei Wheels,1047.0,582.0,640.0,416.0,,125.0,0.0,,1.84,,-0.11,39.9,32.7,1.8,35.5,8.99,57.5,3.31,0.91,0.89,https://www.screener.in/company/533477/
Auto Ancillaries companies,NDRAUTO,NDR Auto Compon.,999.0,840.0,895.0,259.0,29.2,196.0,0.3,,14.1,,78.6,224.0,32.7,1.19,59.6,6.14,71.1,8.68,0.94,0.14,https://www.screener.in/company/NDRAUTO/consolidated/
Auto Ancillaries companies,508807,IST,924.0,792.0,795.0,395.0,8.51,1041.0,0.0,,7.71,,-4.58,101.0,32.7,1.17,0.79,0.35,75.5,27.6,1.0,0.0,https://www.screener.in/company/508807/consolidated/
Auto Ancillaries companies,MUNJALAU,Munjal Auto Inds,871.0,87.1,92.0,35.6,34.4,38.8,2.3,,5.96,,7.8,145.0,32.7,10.0,17.1,5.33,63.6,1.38,0.95,0.72,https://www.screener.in/company/MUNJALAU/consolidated/
Auto Ancillaries companies,505036,Auto.Corp.of Goa,866.0,1423.0,1655.0,661.0,29.4,333.0,1.23,,14.1,,5.95,115.0,32.7,0.61,15.0,14.0,46.7,12.4,0.86,0.22,https://www.screener.in/company/505036/
Auto Ancillaries companies,HITECHGEAR,The Hi-Tech Gear,860.0,458.0,519.0,226.0,24.6,232.0,0.55,,6.55,,-0.53,103.0,32.7,1.88,17.4,11.6,49.6,38.5,0.88,0.79,https://www.screener.in/company/HITECHGEAR/consolidated/
Auto Ancillaries companies,538992,Sar Auto Prod.,778.0,1632.0,1681.0,760.0,1196.0,34.6,0.0,,3.95,,37.8,115.0,32.7,0.48,19.6,2.91,65.5,0.88,0.97,0.52,https://www.screener.in/company/538992/
Auto Ancillaries companies,539337,Waaree Tech.,774.0,719.0,742.0,140.0,,8.59,0.0,,-9.25,,71.6,415.0,32.7,1.08,,3.07,79.5,-1.85,0.97,1.69,https://www.screener.in/company/539337/
Auto Ancillaries companies,505163,Z F Steering,727.0,801.0,884.0,378.0,18.2,485.0,0.62,,6.32,,16.7,112.0,32.7,0.91,16.3,9.38,51.6,14.4,0.91,0.09,https://www.screener.in/company/505163/
Auto Ancillaries companies,HINDCOMPOS,Hind.Composites,668.0,452.0,494.0,237.0,19.1,642.0,0.44,,3.22,,9.9,91.0,32.7,1.48,16.7,8.49,54.8,6.73,0.92,0.0,https://www.screener.in/company/HINDCOMPOS/
Auto Ancillaries companies,ASAL,Automotive Stamp,665.0,420.0,482.0,246.0,50.3,-12.4,0.0,,,,5.57,70.4,32.7,1.59,31.7,13.0,53.2,2.52,0.87,,https://www.screener.in/company/ASAL/
Auto Ancillaries companies,RBL,Rane Brake Lin.,659.0,853.0,916.0,585.0,18.3,332.0,2.93,,13.3,,10.4,45.8,32.7,0.77,8.33,6.87,54.8,12.4,0.93,0.0,https://www.screener.in/company/RBL/
Auto Ancillaries companies,MUNJALSHOW,Munjal Showa,578.0,144.0,159.0,82.8,18.0,162.0,3.12,,3.45,,-1.24,74.4,32.7,4.0,-1.25,9.24,56.8,0.39,0.91,0.0,https://www.screener.in/company/MUNJALSHOW/
Auto Ancillaries companies,523229,Bharat Seats,523.0,166.0,174.0,78.0,22.2,48.9,0.84,,15.8,,5.46,113.0,32.7,3.14,21.3,4.28,62.4,2.16,0.96,0.66,https://www.screener.in/company/523229/
Auto Ancillaries companies,AUTOIND,Autoline Industr,509.0,131.0,148.0,60.1,60.9,20.6,0.0,,1.96,,-12.4,117.0,32.7,3.9,27.1,12.0,56.0,0.9,0.88,2.52,https://www.screener.in/company/AUTOIND/consolidated/
Auto Ancillaries companies,PAVNAIND,Pavna Industries,500.0,410.0,486.0,215.0,35.7,55.7,0.24,,13.6,,-25.8,90.8,32.7,1.22,26.0,15.6,57.3,5.02,0.84,1.67,https://www.screener.in/company/PAVNAIND/consolidated/
Auto Ancillaries companies,SHIVAMAUTO,Shivam Autotech,470.0,38.4,43.9,20.4,,6.45,0.0,,-28.5,,-7.22,88.0,32.7,12.2,-7.16,12.4,59.7,-1.24,0.88,2.34,https://www.screener.in/company/SHIVAMAUTO/
Auto Ancillaries companies,531727,Menon Pistons,420.0,82.4,102.0,37.2,16.7,25.0,1.21,,19.8,,11.2,122.0,32.7,5.1,,18.9,65.1,1.4,0.81,0.16,https://www.screener.in/company/531727/consolidated/
Auto Ancillaries companies,522195,Frontier Springs,417.0,1059.0,1064.0,342.0,49.7,204.0,0.09,,10.2,,24.2,210.0,32.7,0.39,2.44,0.48,76.0,7.24,1.0,0.03,https://www.screener.in/company/522195/
Auto Ancillaries companies,GOLDSTAR,Goldstar Power,404.0,16.8,23.4,4.0,97.4,1.1,0.0,,16.9,,-23.0,320.0,32.7,24.1,11.7,28.0,60.0,0.09,0.72,0.64,https://www.screener.in/company/GOLDSTAR/
Auto Ancillaries companies,REMSONSIND,Remsons Ind,384.0,673.0,716.0,182.0,47.6,77.9,0.22,,20.7,,-4.06,270.0,32.7,0.57,18.4,5.94,66.4,3.85,0.94,1.41,https://www.screener.in/company/REMSONSIND/
Auto Ancillaries companies,538987,Talbros Engg.,362.0,713.0,975.0,423.0,17.3,253.0,0.28,,26.3,,-2.62,68.7,32.7,0.51,27.1,26.9,45.4,8.75,0.73,0.81,https://www.screener.in/company/538987/
Auto Ancillaries companies,URAVI,Uravi T & Wedge,356.0,324.0,359.0,93.0,404.0,22.4,0.0,,3.82,,8.17,248.0,32.7,1.1,-2.11,9.86,56.8,0.53,0.9,1.08,https://www.screener.in/company/URAVI/
Auto Ancillaries companies,SINTERCOM,Sintercom India,348.0,126.0,140.0,95.0,599.0,36.3,0.0,,-0.07,,8.02,33.0,32.7,2.75,15.4,9.46,45.6,0.09,0.91,0.29,https://www.screener.in/company/SINTERCOM/
Auto Ancillaries companies,PPAP,PPAP Automotive,334.0,239.0,295.0,148.0,,209.0,0.63,,-2.02,,7.22,61.4,32.7,1.4,12.4,19.0,53.6,0.39,0.81,0.54,https://www.screener.in/company/PPAP/consolidated/
Auto Ancillaries companies,UCAL,Ucal,325.0,147.0,164.0,105.0,,175.0,1.36,,0.27,,-9.1,39.3,32.7,2.21,4.01,10.4,58.0,-0.67,0.9,0.43,https://www.screener.in/company/UCAL/consolidated/
Auto Ancillaries companies,PRITIKAUTO,Pritika Auto,297.0,32.4,39.6,13.1,24.4,19.0,0.0,,10.1,,14.7,147.0,32.7,9.15,36.8,18.3,55.2,0.43,0.82,0.64,https://www.screener.in/company/PRITIKAUTO/consolidated/
Auto Ancillaries companies,513252,Jay Ushin,275.0,713.0,899.0,496.0,21.6,265.0,0.42,,13.9,,-3.99,43.7,32.7,0.39,3.47,20.7,41.3,11.0,0.79,0.93,https://www.screener.in/company/513252/
Auto Ancillaries companies,500240,Kinetic Engg.,271.0,137.0,154.0,86.0,52.1,4.55,0.0,,,,,58.8,32.7,1.99,,11.6,53.7,0.84,0.88,8.42,https://www.screener.in/company/500240/consolidated/
Auto Ancillaries companies,SUNDRMBRAK,Sundaram Brake,263.0,668.0,717.0,271.0,46.4,233.0,0.0,,-5.43,,5.84,147.0,32.7,0.39,11.2,6.79,58.5,7.27,0.93,0.4,https://www.screener.in/company/SUNDRMBRAK/
Auto Ancillaries companies,RANEENGINE,Rane Engine Val.,259.0,359.0,394.0,195.0,23.4,156.0,0.0,,-7.2,,21.5,83.9,32.7,0.72,11.9,8.95,57.6,2.05,0.91,1.07,https://www.screener.in/company/RANEENGINE/
Auto Ancillaries companies,SHIGAN,Shigan Quantum,220.0,128.0,158.0,67.0,314.0,36.0,0.0,,7.48,,-55.1,90.7,32.7,1.72,31.0,19.1,71.1,1.07,0.81,0.61,https://www.screener.in/company/SHIGAN/
Auto Ancillaries companies,523638,IP Rings,216.0,170.0,180.0,80.0,,84.0,0.59,,1.6,,1.49,113.0,32.7,1.27,17.8,5.53,55.7,-1.59,0.94,0.83,https://www.screener.in/company/523638/
Auto Ancillaries companies,JMA,Jullundur Motor,188.0,82.4,88.5,59.0,8.76,80.5,2.43,,13.3,,4.28,39.6,32.7,2.28,10.4,6.95,53.3,2.11,0.93,0.0,https://www.screener.in/company/JMA/
Auto Ancillaries companies,BHARATGEAR,Bharat Gears,178.0,116.0,156.0,96.0,189.0,76.8,0.0,,11.8,,-7.39,20.4,32.7,1.54,18.3,25.9,49.3,-1.13,0.74,0.9,https://www.screener.in/company/BHARATGEAR/
Auto Ancillaries companies,530621,Akar Auto Indust,161.0,150.0,156.0,61.8,23.1,39.1,0.33,,19.1,,18.1,142.0,32.7,1.08,22.8,4.38,71.8,1.35,0.96,1.45,https://www.screener.in/company/530621/
Auto Ancillaries companies,505978,Triton Valves,153.0,1475.0,1950.0,1147.0,,699.0,0.0,,-11.6,,12.9,28.6,32.7,0.1,19.2,24.4,39.6,5.96,0.76,1.69,https://www.screener.in/company/505978/consolidated/
Auto Ancillaries companies,520075,Samkrg Pistons,148.0,151.0,170.0,112.0,17.1,186.0,1.66,,8.28,,-4.27,34.0,32.7,0.98,0.43,11.2,60.9,1.33,0.89,0.2,https://www.screener.in/company/520075/
Auto Ancillaries companies,505712,Him Teknoforg.,143.0,182.0,212.0,73.0,17.3,223.0,0.22,,6.98,,0.59,149.0,32.7,0.79,22.1,14.1,61.5,1.84,0.86,0.85,https://www.screener.in/company/505712/
Auto Ancillaries companies,539353,SAL Automotive,141.0,590.0,662.0,224.0,20.7,155.0,0.68,,14.4,,61.3,164.0,32.7,0.24,52.6,10.9,62.4,6.21,0.89,0.99,https://www.screener.in/company/539353/
Auto Ancillaries companies,OMAXAUTO,Omax Autos,139.0,64.8,71.5,37.6,,131.0,0.0,,-7.76,,18.5,72.2,32.7,2.14,-13.6,9.3,53.7,-1.64,0.91,0.38,https://www.screener.in/company/OMAXAUTO/
Auto Ancillaries companies,542459,Kranti Industrie,95.4,83.6,113.0,60.2,26.6,31.7,0.0,,8.31,,-6.86,38.8,32.7,1.14,23.9,25.9,35.5,0.53,0.74,1.11,https://www.screener.in/company/542459/consolidated/
Auto Ancillaries companies,SETCO,Setco Automotive,93.6,7.0,12.0,4.7,,-38.0,0.0,,,,2.41,48.9,32.7,13.4,5.37,41.4,42.1,-2.54,0.59,,https://www.screener.in/company/SETCO/consolidated/
Auto Ancillaries companies,505893,Hindustan Hardy,79.1,528.0,621.0,225.0,14.2,139.0,0.42,,22.6,,14.2,134.0,32.7,0.15,17.3,15.1,45.0,5.54,0.85,0.15,https://www.screener.in/company/505893/
Auto Ancillaries companies,531994,Auto Pins (I),76.5,134.0,137.0,45.0,58.4,13.8,0.0,,12.5,,40.4,198.0,32.7,0.57,18.7,1.94,94.6,0.58,0.98,0.53,https://www.screener.in/company/531994/
Auto Ancillaries companies,522207,Rasandik Engg.,72.4,121.0,156.0,53.0,,157.0,0.0,,-7.67,,-50.3,128.0,32.7,0.6,-10.2,22.3,51.9,4.57,0.78,0.64,https://www.screener.in/company/522207/
